# ----------------------------------------
# JewelMint + subdomains
# Landing Pages
# 20130616-20130723
# ----------------------------------------

Landing Page,Visits,Pages / Visit,Avg. Visit Duration,% New Visits,Bounce Rate
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=10298235221286130628,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=102982361091536130629,5,11.00,00:01:44,100.00%,0.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=10298237153846130703&aid=1$soc$p11$c240$781,5,4.00,00:01:02,100.00%,0.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=10298238154686130626,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=10298238226166130630,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=102982392101476130701,5,13.00,00:01:03,100.00%,0.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=102982392361406130717&aid=1$soc$p11$c240$781,5,36.80,00:09:07,100.00%,0.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=102982394306130701,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=10298241631766130630,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=102982421082506130630,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=10298242216136130630,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=10298242381696130629,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=102982431381996130629,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=10298244121626130630,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=10298245137116130627,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=10298245195246130723&aid=1$aff$p18$c21$666,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=10298245201176130629,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=102982461011996130628,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=102982461802406130628,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid={aid}&pr_id={pr_id}&transaction_id=10298246361466130617&aid=1$soc$p11$c240$781,5,9.00,00:01:11,100.00%,0.00%
