# ----------------------------------------
# JewelMint + subdomains
# Landing Pages
# 20130616-20130723
# ----------------------------------------

Landing Page,Visits,Pages / Visit,Avg. Visit Duration,% New Visits,Bounce Rate
www.jewelmint.com/?aid=1$aff$p116$c4672$8832&pr_id={pr_id}&transaction_id=1021802541441806130703,234,1.10,00:00:00,100.00%,89.32%
www.jewelmint.com/account?accountTab=credits,234,3.23,00:03:59,100.00%,44.44%
www.jewelmint.com/collections/jewelmintsale?aid=1$fb$p475$c1832$4356,234,3.74,00:03:09,100.00%,42.31%
www.jewelmint.com/collections/collective-necklaces,224,2.71,00:02:10,100.00%,68.75%
www.jewelmint.com/our-designs/?aid=1$sem$p9$c2269$4939,224,7.92,00:03:53,100.00%,22.32%
start.jewelmint.com/k/scion/N/N?ref=s2d&dref=,214,2.16,00:00:06,100.00%,0.00%
www.jewelmint.com/collections/29-99,204,2.02,00:01:36,100.00%,53.43%
www.jewelmint.com/jewelry/golden-dagger-pendant,194,2.87,00:01:18,100.00%,56.19%
start.jewelmint.com/k/fbbib/?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=2_0,179,4.50,00:03:00,100.00%,11.17%
www.jewelmint.com/account?accountTab=order_history,179,2.08,00:01:13,100.00%,63.69%
www.jewelmint.com/as-seen-on,179,3.69,00:01:47,100.00%,39.11%
www.jewelmint.com/how-it-works/?aid=1$sem$p9$c2269$4934,174,16.02,00:12:09,100.00%,14.37%
www.jewelmint.com/get-started,164,2.97,00:00:46,100.00%,66.46%
www.jewelmint.com/rewards,164,2.12,00:01:17,100.00%,48.78%
www.jewelmint.com/stylepoints,164,2.00,00:00:41,100.00%,72.56%
www.jewelmint.com/?aid=1$aff$p116$c4672$8832&pr_id={pr_id}&transaction_id=10236682341346130704,159,1.06,00:00:00,100.00%,93.71%
www.jewelmint.com/pages/jm-categories-allinone/?view=rings&filter=show_all&redir_ct=1,159,9.50,00:07:18,100.00%,59.12%
www.jewelmint.com/collections/jm-back-in-stock,154,3.49,00:02:32,100.00%,48.70%
www.jewelmint.com/jewelry-box/,154,2.16,00:01:39,100.00%,80.52%
www.jewelmint.com/order/thank-you,154,1.55,00:01:04,100.00%,0.00%
www.jewelmint.com/pages/jm-categories-allinone/?view=earrings&filter=show_all&redir_ct=1,154,2.71,00:04:57,100.00%,48.70%
start.jewelmint.com/k/fbbib/shop?p=shop&fb_source=search&ref=ts&fref=ts,149,3.90,00:02:25,100.00%,53.69%
www.jewelmint.com/?aid=1$fb$p475$c1832$4356,149,4.17,00:03:20,100.00%,53.69%
www.jewelmint.com/collections/giles-and-brother,149,3.00,00:03:33,100.00%,43.62%
www.jewelmint.com/collections/jm-basics,149,1.57,00:01:01,100.00%,79.87%
