# ----------------------------------------
# JewelMint + subdomains
# Landing Pages
# 20130616-20130723
# ----------------------------------------

Landing Page,Visits,Pages / Visit,Avg. Visit Duration,% New Visits,Bounce Rate
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=10270252148636130619,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=102702971696130710,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=10270311801776130719,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=1027039176446130619,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=1027043110116130703,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=1027045149456130630,5,2.00,00:00:03,100.00%,0.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=10270451762106130722,5,7.00,00:02:15,100.00%,0.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=1027045226986130722,5,14.00,00:02:53,100.00%,0.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=10270491041436130704,5,10.00,00:01:23,100.00%,0.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=10270492042196130621,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=10270531271356130617,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=10270652091686130628,5,9.00,00:01:00,100.00%,0.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=102706581806130711,5,20.80,00:07:11,100.00%,0.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=10270701571326130707,5,3.00,00:00:20,100.00%,0.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=1027078451356130707,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=10270821111386130711,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=1027091104536130708,5,16.80,00:19:36,100.00%,0.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=1027094112846130624,5,2.00,00:00:47,100.00%,0.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=102711002321926130629,5,9.00,00:00:45,100.00%,0.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=10271101062256130718,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=1027110157206130619,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=1027110588586130616,5,1.00,00:00:00,100.00%,100.00%
www.jewelmint.com/?aid=1$aff$p116$c4672$8838&pr_id={pr_id}&transaction_id=102711070796130719,5,1.00,00:00:00,100.00%,100.00%
